기업명,그룹사,기업종류,공고명,직무키워드,학력,경력구분,근무지
NH농협은행(주),농협그룹,대기업,NH농협은행 고양시지부 킨텍스점 산전후대체직 채용,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 계약직,경기 고양시 일산서구
NH농협은행(주),농협그룹,대기업,NH농협은행 대구영업부 사무지원직 채용공고,"사무직, 비품관리, 사무보조, 사무행정, 전화응대",학력무관,경력무관 · 계약직,대구 북구
NH농협은행(주),농협그룹,대기업,NH농협은행 강원특별자치도청 사무지원직 채용공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 계약직,강원 춘천시
NH농협은행(주),농협그룹,대기업,경산여신관리단 일반계약직 직원 채용공고,"사무직, 사무보조, 사무행정, 채권관리",학력무관,경력무관 · 계약직,경북 경산시
NH농협은행(주),농협그룹,대기업,NH농협은행 메트로팔레스지점 사무지원직 채용 공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 계약직,대구 수성구
NH농협은행(주),농협그룹,대기업,NH농협은행 선정릉역지점 산전후대체직 채용 공고,"사무직, 사무보조, 사무행정",학력무관,경력무관 · 계약직,서울 강남구
식품의약품안전평가원,,,2026년 제2차 청년인턴 채용공고(의료기기 등 안전관리),"자료조사, 의료기기연구, 시장조사, 통계/분석",학력무관,경력무관 · 인턴직,충북 청주시 흥덕구
식품의약품안전평가원,,,2026년 제2차 청년인턴 채용공고(일반행정),"비품관리, 사무행정, 행사기획, 교육콘텐츠개발, 홍보",학력무관,경력무관 · 인턴직,충북 청주시 흥덕구 외
식품의약품안전처,식품의약품안전처그룹,공사·공기업,2026년 제2차 경인지방식품의약품안전청 청년인턴 채용 공고,"사무행정, 세포실험, 실험보조, Haccp, 통계/분석",학력무관,경력무관 · 인턴직,경기 과천시 외
서울지방식품의약품안전청,,,2026년 제2차 청년인턴 채용 공고,"사무행정, 세포실험, 식품연구, 실험보조, 품질검사원",학력무관,경력무관 · 인턴직,서울 양천구
대구지방식품의약품안전청,,,2026년 제2차 청년인턴 채용 공고,"사무행정, 세포실험, 식품연구, 실험보조, 품질관리",학력무관,경력무관 · 인턴직,대구 동구
대전지방식품의약품안전청,,,2026년 제2차 청년인턴 채용공고,"세포실험, 식품연구, 실험보조, 유해화학물질, 품질관리",학력무관,경력무관 · 인턴직,대전 서구
고려대학교구로병원,,대기업,[구로병원]간호부 중환자실 계약직일반업무원 모집,"진료보조, 침구실보조, 중환자실, 대학병원, 3교대",학력무관,신입 · 계약직,서울 광진구
고려대학교구로병원,,대기업,[구로병원]간호부 PRN 계약직일반업무원 모집,"비품관리, 사무보조, 대학병원",학력무관,신입 · 계약직,서울 구로구
조선대학교병원,,,원무팀 응급실 일반직 계약직원 채용 재공고,"사무행정, 원무, 대학병원, 3교대",대학교(4년)↑,경력무관 · 계약직,전남광주 동구
(주)조선비즈,조선일보사그룹,,이코노미조선 인턴기자 채용,"기자, 통/번역, 신문, 인포그래픽",대학교(4년)↑,경력무관 · 인턴직,서울 중구
