날짜,종가,전일비,시가,고가,저가,거래량
2026.01.15,143900,상승3600,139000,144000,138300,24701126
2026.01.14,140300,상승2700,137000,140300,136800,18444394
2026.01.13,137600,하락1200,139800,140200,136900,22384699
2026.01.12,138800,하락200,141000,142000,136900,26271134
2026.01.09,139000,상승200,136000,140700,135200,29520566
2026.01.08,138800,하락2200,138300,144500,138300,41449329
2026.01.07,141000,상승2100,143500,144400,137600,46317413
2026.01.06,138900,상승800,135300,139300,132700,45321341
2026.01.05,138100,상승9600,134600,138600,133600,42863376
2026.01.02,128500,상승8600,120200,128500,120200,30463279
2025.12.30,119900,상승400,119100,121200,118700,19746349
2025.12.29,119500,상승2500,119400,119700,118200,19676004
2025.12.26,117000,상승5900,112400,117000,112400,34018174
2025.12.24,111100,하락400,112400,112400,110900,12492939
2025.12.23,111500,상승1000,110900,112500,110400,20419187
2025.12.22,110500,상승4200,109700,110500,109300,24859171
2025.12.19,106300,하락1300,109700,109700,106200,25917098
2025.12.18,107600,하락300,106400,108200,105700,20445631
2025.12.17,107900,상승5100,103500,108100,103400,22297611
2025.12.16,102800,하락2000,104900,105600,102700,18852079
2025.12.15,104800,하락4100,105300,105800,104600,20594654
2025.12.12,108900,상승1600,107100,108900,106800,14210314
2025.12.11,107300,하락700,109200,110500,107300,22994507
2025.12.10,108000,하락400,108300,109800,107400,12365092
2025.12.09,108400,하락1100,108900,109400,107300,13671800
2025.12.08,109500,상승1100,109700,110000,108000,15527762
2025.12.05,108400,상승3300,105300,108400,104600,19755571
2025.12.04,105100,상승600,103900,105100,103200,11931145
2025.12.03,104500,상승1100,104700,105500,104000,14697927
2025.12.02,103400,상승2600,101200,103500,101000,13649487
2025.12.01,100800,상승300,102000,102800,99900,10905526
2025.11.28,100500,하락3000,103800,103800,100500,15292277
2025.11.27,103500,상승700,104100,105500,102700,16453004
2025.11.26,102800,상승3500,100500,102900,99300,21314975
2025.11.25,99300,상승2600,101400,101400,97800,16110054
