카테고리,제목,저자,정가,할인가격,이미지
[국내도서],슈뻘맨의 숨은 과학 찾기 8,"- 엉뚱 도전 속에 숨은 과학 상식 ㅣ 슈뻘맨의 숨은 과학 찾기 8 슈뻘맨 (원작), 서후 (글), 류수형 (그림), 샌드박스네트워크 , 정재형 (감수)","16,800원","15,120원",
[국내도서],포켓몬 생태도감,"ㅣ 포켓몬 생태도감 주식회사 포켓몬 (지은이), 기노시타 치히로 (그림), 이선희 (옮긴이), 요네하라 요시나리 (기획)","15,000원","13,500원",
[국내도서],타몬 군 지금 어느 쪽?! 13 (한정판),"- 후쿠하라 타몬 2nd 사진집 + 후쿠하라 타몬 사인 포토카드 + 일러스트 카드 시와스 유키 (지은이), 최윤정 (옮긴이)","14,000원","12,600원",
[국내도서],시뮬레이션 우주,- 스스로 계산하는 가장 거대한 양자컴퓨터 박권 (지은이),"22,000원","19,800원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],조용히 해내는 사람,"- 세상의 소음에 휘둘리지 않고, 나를 지키며 일한다는 것 이재은 (지은이)","17,800원","16,020원",
[국내도서],흔한남매 22,"ㅣ 흔한남매 22 흔한남매 (지은이), 백난도 (글), 유난희 (그림), 흔한컴퍼니 (감수)","16,800원","15,120원",
[국내도서],괴테는 모든 것을 말했다 (여름 에디션),"- 제172회 아쿠타가와상 수상작 스즈키 유이 (지은이), 이지수 (옮긴이)","17,000원","15,300원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],공부가 결국 너를 지켜줄 거야,"임민찬 (지은이), 이로 (그림)","19,800원","17,820원",
[국내도서],무진기행,ㅣ 민음사 세계문학전집 149 김승옥 (지은이),"11,000원","9,900원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
[국내도서],인 더 메가처치,"> 팬 페이지 연결) [국내도서] 인 더 메가처치 - 2026 일본 서점대상 1위 아사이 료 (지은이), 송태욱 (옮긴이)","19,800원","17,820원",
[국내도서],주식의 시대,- EBS 다큐프라임 EBS 다큐프라임 〈주식의 시대〉 제작진 (지은이),"19,000원","17,100원",https://image.aladin.co.kr/img/search/icon_arrow.jpg
