seq,uid,상세,중개사,매물유형,동,층,공급면적,전용면적,매매가,보증금,월세,등록일
1609,41160158,화이트톤 특올수리. 시야 트인 로얄라인.9호선.5호선 더블역세권.,MAX맥스공인중개사사무소,매매,1,19,86.30,59.79,"133,000",0,0,2026-08-17
1609,41184606,확트인뷰00더블역세권00올수리로 내부상태 최상00초품아00,가람에코자이공인중개사사무소,매매,1,19,86.30,59.79,"133,000",0,0,2026-08-18
1609,41442318,화이트톤특올수리  일자산트인뷰  입주매물,래미안강동열매공인중개사사무소,매매,1,19,106.05,59.79,"133,000",0,0,2026-08-25
1609,41449068,"특올수리,신혼부부강추,9호선5호선더블역세권",둔촌박성원공인중개사사무소,매매,1,19,86.30,59.79,"133,000",0,0,2026-08-25
1609,41467026,"사준집,저평가,투자가치,뻥뷰, 내부특올수리,올파포인접,입주가능",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,1,19,86.30,59.79,"133,000",0,0,2026-08-25
1609,41467027,"사준집 ,저평가,투자가치, 뻥뷰,내부특올수리",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,1,19,86.30,59.79,"133,000",0,0,2026-08-25
1609,41328033,"저평가,뻥뷰,투자가치,5,9호선역세권,한산초중인접",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,1,고,86.30,59.79,"130,000",0,0,2026-08-21
1609,41467035,"올수리조건,정상입주,5.9호선역세권,아이키우기좋은집,한산초중인접",금성484-4004(단지내30여년)포레온공인중개사사무소,전세,1,1,86.30,59.79,0,"60,000",0,2026-08-25
1609,41480636,"신혼부부강추,전체올수리해줌,9호선5호선더블역세권,한산초중인접,",둔촌박성원공인중개사사무소,전세,1,1,106.05,59.79,0,"60,000",0,2026-08-26
1609,41449072,"신혼부부추천,올수리해줌,9호선5호선더블역세권,한산초중인접,",둔촌박성원공인중개사사무소,전세,1,1,86.30,59.79,0,"60,000",0,2026-08-25
1609,41448966,샷시등 올수리 예정 더블역세권 학세권 풍부한 생활 인프라,라임공인중개사사무소,전세,1,1,86.30,59.79,0,"60,000",0,2026-08-25
1609,41286638,"샷시,욕실 포함 전체올수리 예정  더블역세권 풍부한 생활인프라",라임공인중개사사무소,전세,1,1,86.30,59.79,0,"60,000",0,2026-08-20
1609,41422681,"올수리해줌,정상입주,아이키우기좋은집,신혼부부추천",금성484-4004(단지내30여년)포레온공인중개사사무소,전세,1,1,86.30,59.79,0,"60,000",0,2026-08-24
50546,40636172,뛰어라.세안고. 환상적인 뷰. 9호선급행역. 인테리어해서 관리잘된 집.,뛰어라공인중개사사무소,매매,102,고,127.37,106.79,"150,000",0,0,2026-07-31
50546,41159768,"거실확장,폴딩도어,중문,보훈병원역6분",신동아공인중개사사무소,매매,102,3,127.37,106.79,"149,000",0,0,2026-08-17
50546,41358789,"올수리됨,주인거주중,9호선도오7분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,3,127.37,106.79,"149,000",0,0,2026-08-22
50546,41369362,"내부수리,거실확장,폴딩도어,중문,9호선보훈병원역5분",신동아공인중개사사무소,매매,102,3,127.37,106.79,"149,000",0,0,2026-08-22
50546,41435861,"입주가능,특올수리확장,9호선도보7분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,3,171.43,106.79,"149,000",0,0,2026-08-25
1610,41422671,"저평가 ,남향,9호선5분,부분수리,무주택자만가능",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,102,저,107.52,84.94,"140,000",0,0,2026-08-24
1610,41467034,"급매,저평가 ,미래가치,9호선5분,초중고인접,무주택자만가능,세안고",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,102,저,107.52,84.94,"140,000",0,0,2026-08-25
1610,41422661,"저평가,내부특올수리 9호선5분",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,102,1,107.52,84.94,"139,000",0,0,2026-08-24
1610,41286633,도보 통학권 우수 정남향 올수리 내년초 입주가능,라임공인중개사사무소,매매,102,1,107.52,84.94,"139,000",0,0,2026-08-20
1610,41422694,"올수리됨,9호선도보5분거리,급행강남권25분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,1,107.52,84.94,"139,000",0,0,2026-08-24
1610,41439323,"올수리,남향,9호선5분거리,초중고인접",둔촌박성원공인중개사사무소,매매,102,1,114.09,84.94,"139,000",0,0,2026-08-25
1610,41442803,정남향 특올수리 내년초 입주가능 무주택자 진행 가능,라임공인중개사사무소,매매,102,저,114.09,84.94,"139,000",0,0,2026-08-25
1610,41467029,"저평가,샤시포함내부특올수리,9호선5분",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,102,1,107.52,84.94,"139,000",0,0,2026-08-25
1610,41206764,올수리 아이키우기 좋음 단지 인접 초중고 위치 편리한 생활 인프라,라임공인중개사사무소,매매,102,1,107.52,84.94,"139,000",0,0,2026-08-18
1610,41467043,"저평가,올수리,9호선5분,",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,101,중,75.28,59.47,"120,000",0,0,2026-08-25
1610,41353641,"공동가능 입주 수리깨끗 남향 5,9호선더블역세권 초중고보훈병원인접",삼성(932-5678)공인중개사사무소,매매,101,중,0.00,59.47,"120,000",0,0,2026-08-22
1610,41376688,공동환영 입주가능 남향 주인거주아주깨끗  학군우수보훈병원인접 더블역세권,삼성(932-5678)공인중개사사무소,매매,101,중,75.28,59.47,"120,000",0,0,2026-08-22
1610,41409319,"정남향,부분수리,9호선보훈병원역5분,하시입주,전자계약OK",신동아공인중개사사무소,매매,101,1,75.30,59.49,"115,000",0,0,2026-08-24
1610,41422667,"저평가,9호선5분,하시입주가,초중고인접,부분수리",금성484-4004(단지내30여년)포레온공인중개사사무소,매매,101,1,75.30,59.49,"115,000",0,0,2026-08-24
1610,41422690,"남향,9호선 도보5분거리,5호선더블역세권,초중인접",둔촌박성원공인중개사사무소,매매,101,1,75.30,59.49,"115,000",0,0,2026-08-24
1610,40793634,남향 하시입주가능 풍부한 생활인프라 더블역세권,라임공인중개사사무소,매매,101,1,75.30,59.49,"115,000",0,0,2026-08-05
1610,41159767,"정남향,선린초,둔촌중고,9호선보훈병원역5분,즉시입주가능",신동아공인중개사사무소,매매,101,1,75.30,59.49,"115,000",0,0,2026-08-17
1610,41162062,추천 하시 입주 가능 남향  더블역세권,라임공인중개사사무소,매매,101,1,75.30,59.49,"115,000",0,0,2026-08-17
1610,41480666,"급매,9호선5호선더블역세권,즉시입주가능,남향,",둔촌박성원공인중개사사무소,매매,101,1,79.91,59.49,"115,000",0,0,2026-08-26
1610,41217381,"컨디션깔끔 5,9호선더블역세권 채광좋음 초중고학세권",마음공인중개사사무소,전세,102,11,154.34,114.90,0,"90,000",0,2026-08-19
1610,41388340,"43 컨디션깔끔 방4,화2 5,9호선급행도보5분 초중고학세권",마음공인중개사사무소,전세,102,11,145.44,114.90,0,"90,000",0,2026-08-23
1610,41481281,"1년단기,즉시입주가능,9호선도보5분거리,초중인접,방2,화1",둔촌박성원공인중개사사무소,월세,101,1,79.91,59.49,0,"30,000",130,2026-08-26
1610,41422693,"1년단기,즉시입주가능,9호선도보5분거리,초중고인접,방2,화1",둔촌박성원공인중개사사무소,월세,101,1,75.30,59.49,0,"30,000",130,2026-08-24
1610,41467030,1년이내 단기임대,금성484-4004(단지내30여년)포레온공인중개사사무소,월세,101,1,75.30,59.49,0,"30,000",130,2026-08-25
1610,41286636,남향 특올수리 신혼 적합 더블역세권 풍부한 생활 인프라,라임공인중개사사무소,월세,101,고,75.28,59.47,0,"10,000",220,2026-08-20
1610,41151549,특올수리 더블역세권 정남향,라임공인중개사사무소,월세,101,고,75.28,59.47,0,"10,000",220,2026-08-16
20021323,41422670,남향. 올수리. 입주. 전망굿.,금성484-4004(단지내30여년)포레온공인중개사사무소,매매,1,15,99.85,79.36,"105,000",0,0,2026-08-24
1500075497,41044376,둔촌동역 도보3분 초역세권 I 주상복합 25평 I 로얄층 매매,홈링크부동산중개법인주식회사,매매,101,8,0.00,59.00,"117,000",0,0,2026-08-13
1500073914,41356359,"37 남향, 입주, 5호선역세권, 메인상가, 둔촌초",부동산헤드라인공인중개사사무소,매매,121,고,216.36,95.97,"320,000",0,0,2026-08-22
1500073914,41380966,,단지내승진포레온공인중개사사무소,매매,301,고,194.21,144.97,"696,000",0,0,2026-08-22
1500073914,41201465,"64펜트, 귀한매물, 파노라마뷰 연출, 입주조건협의가능",부동산헤드라인공인중개사사무소,매매,416,고,211.95,156.97,"520,000",0,0,2026-08-18
1500073914,41441887,58 복층 하이엔드희소세대 주거프리미엄 커뮤니티시설,올림픽파크포레온금탑공인중개사사무소,매매,303,고,332.57,144.97,"500,000","220,000",0,2026-08-25
1500073914,41380967,,단지내승진포레온공인중개사사무소,매매,303,고,194.21,144.97,"500,000",0,0,2026-08-22
1500073914,41358876,복층펜트. 올팍뷰.롯데타워뷰. 진정한 포레온최고매물. 오래오래 사세요,대일484-7474부동산공인중개사사무소,매매,303,고,194.21,144.97,"500,000",0,0,2026-08-22
1500073914,41390254,주인직접 웅장한 복층 개방감 특별한 조건,부흥부동산공인중개사사무소,매매,303,고,332.57,144.97,"500,000","70,000",340,2026-08-24
1500073914,41251111,복층펜트. 롯데타워뷰. 시그니처라인. 더이상 말이필요없는집,대일484-7474부동산공인중개사사무소,매매,302,고,194.21,144.97,"500,000",0,0,2026-08-19
1500073914,41356139,"58,복층 펜트하우스, 집보고 결정, 파노라마 공원뷰",으뜸포레온공인중개사사무소,매매,303,고,332.57,144.97,"500,000","150,000",0,2026-08-22
1500073914,41028264,朴58p 복층 탁트인 개방감  세안고  희소성있는세대,박씨네복덕방(02-474-9939)박지언공인중개사사무소,매매,303,고,194.21,144.97,"500,000",0,0,2026-08-13
1500073914,40781411,58P 귀한 복층 매물 올팍.한강 영구조망  세대분리 거주 좋아요,다원공인중개사사무소,매매,302,고,194.21,144.97,"490,000",0,0,2026-08-05
1500073914,41352274,주인직접 웅장한 복층 개방감 특별한 조건,부흥부동산공인중개사사무소,매매,302,고,332.57,144.97,"490,000","70,000",340,2026-08-22
1500073914,40736241,"오늘 확인매물.sky 복층구조.2세대 거주가,전망 좋은 작업실주거가",올림픽파크포레온 나이스 단지내 공인중개사사무소,매매,302,고,194.21,144.97,"480,000",0,0,2026-08-04
1500073914,40590162,50 최고명당 일자산최고뷰 힐링스팟,올림픽파크포레온금탑공인중개사사무소,매매,414,중,294.29,134.98,"470,000",0,0,2026-07-30
1500073914,40779316,50.전망최고. 숲세권. 입주.풀옵션,금성484-4004(단지내30여년)포레온공인중개사사무소,매매,414,중,165.46,134.98,"470,000",0,0,2026-08-05
1500073914,41050562,50P 도심속 숲속조망으로 사계절 파노라마 뷰,다원공인중개사사무소,매매,414,중,165.46,134.98,"470,000",0,0,2026-08-12
1500073914,41226500,시티50매매 세안고 개방감좋은동 커뮤니티이용굿 럭셔리하우스,시티472-1117공인중개사사무소,매매,313,중,165.71,134.97,"460,000",0,0,2026-08-18
